,date,country_code,pageviews
0,2023-03-01,DE,3641352
1,2023-03-01,GB,3906492
2,2023-03-01,IN,1735125
3,2023-03-01,JP,1282286
4,2023-03-01,US,9711061
5,2023-03-02,DE,3721411
6,2023-03-02,GB,1181610
7,2023-03-02,IN,2458892
8,2023-03-02,JP,1924113
9,2023-03-02,US,8531812
10,2023-03-03,DE,1140096
11,2023-03-03,GB,1328495
12,2023-03-03,IN,2154459
13,2023-03-03,JP,1707905
14,2023-03-03,US,8021431
15,2023-03-04,DE,2340460
16,2023-03-04,GB,2079215
17,2023-03-04,IN,2574317
18,2023-03-04,JP,1567589
19,2023-03-04,US,7996276
20,2023-03-05,DE,1257567
21,2023-03-05,GB,2639954
22,2023-03-05,IN,2679135
23,2023-03-05,JP,2204111
24,2023-03-05,US,10363571
25,2023-03-06,DE,1232398
26,2023-03-06,GB,1440444
27,2023-03-06,IN,2334542
28,2023-03-06,JP,1959248
29,2023-03-06,US,10954865
30,2023-03-07,DE,909083
31,2023-03-07,GB,1750520
32,2023-03-07,IN,2381379
33,2023-03-07,JP,2263505
34,2023-03-07,US,8384595
35,2023-03-08,DE,1460817
36,2023-03-08,GB,2221150
37,2023-03-08,IN,2543268
38,2023-03-08,JP,1921931
39,2023-03-08,US,7438501
40,2023-03-09,DE,831909
41,2023-03-09,GB,1414763
42,2023-03-09,IN,3292753
43,2023-03-09,JP,2840883
44,2023-03-09,US,8576791
45,2023-03-10,DE,1297912
46,2023-03-10,GB,1900935
47,2023-03-10,IN,2528985
48,2023-03-10,JP,3809678
49,2023-03-10,US,10866814
50,2023-03-11,DE,888723
51,2023-03-11,GB,4677210
52,2023-03-11,IN,2682227
53,2023-03-11,JP,3445533
54,2023-03-11,US,7804326
55,2023-03-12,DE,1866831
56,2023-03-12,GB,3188109
57,2023-03-12,IN,2940422
58,2023-03-12,JP,3492706
59,2023-03-12,US,9643740
60,2023-03-13,DE,2666509
61,2023-03-13,GB,5111491
62,2023-03-13,IN,4044261
63,2023-03-13,JP,2906124
64,2023-03-13,US,22516660
65,2023-03-14,DE,4590019
66,2023-03-14,GB,3806542
67,2023-03-14,IN,3428714
68,2023-03-14,JP,2485611
69,2023-03-14,US,11729184
70,2023-03-15,DE,1670949
71,2023-03-15,GB,3896101
72,2023-03-15,IN,2427778
73,2023-03-15,JP,2030424
74,2023-03-15,US,15045852
75,2023-03-16,DE,3635582
76,2023-03-16,GB,4774145
77,2023-03-16,IN,2251419
78,2023-03-16,JP,2619147
79,2023-03-16,US,10718594
80,2023-03-17,DE,2262670
81,2023-03-17,GB,7808117
82,2023-03-17,IN,2309868
83,2023-03-17,JP,2084259
84,2023-03-17,US,11266165
85,2023-03-18,DE,1619934
86,2023-03-18,GB,6658648
87,2023-03-18,IN,3200773
88,2023-03-18,JP,1929098
89,2023-03-18,US,9583039
90,2023-03-19,DE,5979289
91,2023-03-19,GB,4506855
92,2023-03-19,IN,4264554
93,2023-03-19,JP,1961097
94,2023-03-19,US,11111368
95,2023-03-20,DE,4024311
96,2023-03-20,GB,2865781
97,2023-03-20,IN,2513756
98,2023-03-20,JP,3638682
99,2023-03-20,US,7603082
100,2023-03-21,DE,3637276
101,2023-03-21,GB,2183242
102,2023-03-21,IN,3825506
103,2023-03-21,JP,4839470
104,2023-03-21,US,7867293
105,2023-03-22,DE,3453904
106,2023-03-22,GB,1583304
107,2023-03-22,IN,3128208
108,2023-03-22,JP,5822608
109,2023-03-22,US,7027257
110,2023-03-23,DE,3014309
111,2023-03-23,GB,1771690
112,2023-03-23,IN,2567181
113,2023-03-23,JP,3469688
114,2023-03-23,US,6286396
115,2023-03-24,DE,5932681
116,2023-03-24,GB,1916926
117,2023-03-24,IN,4042986
118,2023-03-24,JP,3215417
119,2023-03-24,US,7238556
120,2023-03-25,DE,5843133
121,2023-03-25,GB,2454444
122,2023-03-25,IN,3449736
123,2023-03-25,JP,3475221
124,2023-03-25,US,9100554
125,2023-03-26,DE,5263325
126,2023-03-26,GB,4382804
127,2023-03-26,IN,3244965
128,2023-03-26,JP,3338043
129,2023-03-26,US,8770789
130,2023-03-27,DE,4945747
131,2023-03-27,GB,3179701
132,2023-03-27,IN,2778324
133,2023-03-27,JP,1851239
134,2023-03-27,US,9441990
135,2023-03-28,DE,4351701
136,2023-03-28,GB,7653380
137,2023-03-28,IN,2634096
138,2023-03-28,JP,1692222
139,2023-03-28,US,7810978
140,2023-03-29,DE,3797005
141,2023-03-29,GB,8590261
142,2023-03-29,IN,2680620
143,2023-03-29,JP,1372349
144,2023-03-29,US,6345665
145,2023-03-30,DE,2075000
146,2023-03-30,GB,5092337
147,2023-03-30,IN,3304772
148,2023-03-30,JP,1735820
149,2023-03-30,US,7582530
150,2023-03-31,DE,1309956
151,2023-03-31,GB,6941390
152,2023-03-31,IN,5013490
153,2023-03-31,JP,1482324
154,2023-03-31,US,8279396
