date,country_code,article,qid,pageviews,lang_code,instance_of,summary,category
2023-03-13,US,Jonathan_Ke_Quan,Q445017,805110,en,human,Ke Huy Quan American actor and stunt choreographer actor,current
2023-03-13,US,Jamie_Lee_Curtis,Q106997,730692,en,human,Jamie Lee Curtis American actress and author actor,current
2023-03-17,US,Lance_Reddick,Q322056,690509,en,human,Lance Reddick American actor (1962–2023) television actor,current
2023-03-13,US,Brendan_Fraser,Q193555,671995,en,human,Brendan Fraser Canadian-American actor (born 1968) film actor,current
2023-03-18,US,Lance_Reddick,Q322056,630690,en,human,Lance Reddick American actor (1962–2023) television actor,current
2023-03-13,US,Michelle_Yeoh,Q214289,618407,en,human,Michelle Yeoh Malaysian actress actor,current
2023-03-22,US,Marcel_Marceau,Q157191,583770,en,human,Marcel Marceau French actor and mime artist (1923–2000 mime artist,historical
2023-03-28,US,Justine_Siegemund,Q73885,556750,en,human,Justine Siegemund German midwife who wrote a book on midwifery midwife,historical
2023-03-24,US,Kitty_O'Neil,Q6418591,551572,en,human,Kitty O'Neil American racing driver and stuntwoman (1946–2018) engineer,historical
2023-03-04,US,Tom_Sizemore,Q349852,494841,en,human,Tom Sizemore American actor (1961–2023) actor,historical
2023-03-19,US,Mario_J._Molina,Q19045,435279,en,human,Mario Molina Mexican chemical engineer (1943–2020) chemist,historical
2023-03-05,US,Jon_Jones,Q285450,389281,en,human,Jon Jones American mixed martial arts fighter mixed martial arts fighter,current
2023-03-10,US,Robert_Blake_(actor),Q524281,366253,en,human,Robert Blake American actor (1933–2023) actor,historical
2023-03-31,US,Carlo_Masi,Q3659599,310034,en,human,Carlo Masi Italian mathematics lecturer and pornographic actor pornographic actor,current
2023-03-14,US,Jimmy_Carter,Q23685,309590,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-31,US,Jimmy_Carter,Q23685,295962,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-29,US,Jimmy_Carter,Q23685,295667,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-15,US,Jimmy_Carter,Q23685,291328,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-30,US,Jimmy_Carter,Q23685,290435,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-28,US,Jimmy_Carter,Q23685,289880,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-16,US,Jimmy_Carter,Q23685,269571,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-09,US,Jimmy_Carter,Q23685,264605,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-06,US,Jimmy_Carter,Q23685,264249,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-08,US,Jimmy_Carter,Q23685,261929,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-13,US,Jimmy_Carter,Q23685,261064,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-03,US,Jimmy_Carter,Q23685,259020,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-13,US,Janet_Leigh,Q205314,258541,en,human,Janet Leigh American actress (1927–2004) character actor,historical
2023-03-14,US,Jonathan_Ke_Quan,Q445017,250106,en,human,Ke Huy Quan American actor and stunt choreographer actor,current
2023-03-19,US,Lance_Reddick,Q322056,249527,en,human,Lance Reddick American actor (1962–2023) television actor,current
2023-03-13,US,Tony_Curtis,Q162389,248369,en,human,Tony Curtis American actor (1925–2010) film actor,historical
2023-03-07,US,Jimmy_Carter,Q23685,244895,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-10,US,Jimmy_Carter,Q23685,233637,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-21,US,Amanda_Bynes,Q212002,231779,en,human,Amanda Bynes American actress and fashion designer (born 1986) television presenter,current
2023-03-26,US,Jonathan_Majors,Q31970512,217902,en,human,Jonathan Majors American actor (born 1989) film actor,current
2023-03-06,US,Dale_Krantz-Rossington,Q445448,214608,en,human,Gary Rossington American guitarist (1951–2023) guitarist,historical
2023-03-01,US,Paul_Vallas,Q3372334,211750,en,human,Paul Vallas American politician and school administrator politician,current
2023-03-14,US,Brendan_Fraser,Q193555,206692,en,human,Brendan Fraser Canadian-American actor (born 1968) film actor,current
2023-03-26,US,Dan_Hurley,Q5213719,203651,en,human,Dan Hurley American basketball player and coach basketball player,current
2023-03-28,US,Simeon_Stylites,Q310987,192919,en,human,Simeon Stylites Christian ascetic saint monk,historical
2023-03-17,US,Saint_Patrick,Q165479,190947,en,human,Saint Patrick 5th-century Romano-British Christian missionary and bishop in Ireland farmer,historical
2023-03-12,US,Jimmy_Carter,Q23685,189850,en,human,Jimmy Carter president of the United States from 1977 to 1981 (1924–2024) naval officer,historical
2023-03-13,US,Jean_Todt,Q171998,184885,en,human,"Jean Todt former FIA President, UN SG's Special Envoy for Road Safety co-driver",historical
2023-03-14,US,Michelle_Yeoh,Q214289,184377,en,human,Michelle Yeoh Malaysian actress actor,current
2023-03-14,US,Jamie_Lee_Curtis,Q106997,180980,en,human,Jamie Lee Curtis American actress and author actor,current
