article,country_code,category,pageviews
Main_Page,US,historical,87317831
Cookie_(informatique),US,historical,49289112
Jimmy_Carter,US,historical,4882374
メインページ,US,historical,4061051
URL,US,historical,3366191
YouTube,US,pop culture,3318034
Gallery_of_sovereign_state_flags,US,historical,2525253
Python,US,historical,2432055
Lance_Reddick,US,pop culture,2246656
ChatGPT,US,historical,2086194
2023_deaths,US,historical,1995722
Website,US,historical,1941853
Pedro_Pascal,US,pop culture,1808479
Chrysler_Hemi_engine,US,historical,1790331
Murdaugh_family,US,historical,1590229
Brendan_Fraser,US,pop culture,1467111
Saint_Patrick's_Day,US,historical,1447747
Regional_Snowfall_Index,US,historical,1369807
John_Wick:_Chapter_4,US,pop culture,1281786
Jamie_Lee_Curtis,US,pop culture,1250782
The_Last_of_Us_(TV_series),US,pop culture,1242228
Everything_Everywhere_All_At_Once,US,pop culture,1233109
Riley_Keough,US,pop culture,1142937
Michelle_Yeoh,US,pop culture,1101868
Creed_3,US,pop culture,1091808
メインページ,JP,historical,11053381
大谷翔平,JP,pop culture,2270093
ヌートバー,JP,historical,1945207
吉田正尚,JP,historical,1626111
栗山英樹,JP,historical,1612122
ワールド・ベースボール・クラシック,JP,pop culture,1599109
中村倫也,JP,pop culture,1575715
ダルビッシュ有,JP,pop culture,1403904
Main_Page,JP,historical,1298087
ラーズ・ヌートバー,JP,historical,1249194
道端ジェシカ,JP,pop culture,1050554
水原一平,JP,historical,802718
宇田川優希,JP,historical,792547
佐々木朗希,JP,historical,754591
水卜麻美,JP,pop culture,736887
葉山奨之,JP,historical,676663
近藤健介,JP,historical,595128
大津綾香,JP,pop culture,533824
あの,JP,pop culture,519431
ガーシー,JP,pop culture,512546
髙橋宏斗,JP,historical,494469
周東佑京,JP,pop culture,491963
今川氏真,JP,historical,468165
三浦瑠麗,JP,historical,462602
翁田大勢,JP,historical,432504
Cookie_(informatique),GB,historical,62366362
Main_Page,GB,historical,13863808
Lily_Savage,GB,pop culture,1021566
YouTube,GB,pop culture,777958
Charles_Bronson_(prisoner),GB,historical,564865
Gary_Lineker,GB,pop culture,395684
The_Last_of_Us_(TV_series),GB,pop culture,394139
Bella_Ramsey,GB,pop culture,384856
Lance_Reddick,GB,pop culture,380203
Website,GB,historical,379768
Pedro_Pascal,GB,pop culture,363979
Humza_Yousaf,GB,historical,324812
2023_deaths,GB,historical,323187
ChatGPT,GB,historical,281510
Fall_(2022_film),GB,pop culture,280673
Michelle_Yeoh,GB,pop culture,259110
Saint_Patrick's_Day,GB,historical,254976
Malaysia_Airlines_Flight_370,GB,historical,222783
Erling_Haaland,GB,historical,213781
Cristiano_Ronaldo,GB,pop culture,207269
John_Wick:_Chapter_4,GB,pop culture,203910
Everything_Everywhere_All_At_Once,GB,pop culture,194304
メインページ,GB,historical,190203
Marcel_Marceau,GB,historical,188645
Daisy_Jones_&_The_Six,GB,pop culture,186163
Main_Page,IN,historical,11290791
XXX_(film_series),IN,pop culture,3271545
XXX:_Return_of_Xander_Cage,IN,pop culture,2296142
YouTube,IN,pop culture,2232589
Women's_Premier_League_(cricket),IN,pop culture,2203150
Cleopatra,IN,historical,1838067
Omegle,IN,pop culture,1836921
ChatGPT,IN,historical,1741295
Indian_Premier_League,IN,pop culture,1639230
2023_Indian_Premier_League,IN,historical,1448411
Pathaan_(film),IN,historical,1384845
Nowruz,IN,historical,1355336
Satish_Kaushik,IN,pop culture,1348912
Instagram,IN,pop culture,1347151
Kitty_O'Neil,IN,historical,1311888
2023_Women's_Premier_League_(cricket),IN,historical,1172050
XXXTentacion,IN,pop culture,1162613
Tu_Jhoothi_Main_Makkaar,IN,historical,1124780
Mario_J._Molina,IN,historical,1089952
John_Wick:_Chapter_4,IN,pop culture,937091
India,IN,historical,856303
Flipkart,IN,historical,804378
XXX:_State_of_the_Union,IN,pop culture,756121
XXXX,IN,historical,698215
Alia_Bhatt,IN,pop culture,667353
Cookie_(informatique),DE,historical,53857480
Main_Page,DE,historical,4669537
Website,DE,historical,1189182
Internationaler_Frauentag,DE,historical,388340
Der_Schwarm,DE,pop culture,347897
PornHub,DE,pop culture,306243
Government_of_Pakistan,DE,historical,304181
Ricarda_Lang,DE,historical,300692
Im_Westen_nichts_Neues_(2022),DE,historical,298068
Bleiakkumulator,DE,historical,297839
Everything_Everywhere_All_at_Once,DE,pop culture,291965
Nekrolog_2023,DE,historical,287367
Lance_Reddick,DE,pop culture,281297
Deutschland,DE,historical,274660
Thomas_Tuchel,DE,historical,273152
ChatGPT,DE,historical,269711
Justine_Siegemund,DE,historical,243584
Mario_J._Molina,DE,historical,230908
Marcel_Marceau,DE,historical,230843
Klaus_Barkowsky,DE,historical,228407
Der_Schwarm_(Fernsehserie),DE,pop culture,227668
Drill,DE,historical,217609
TV_Mainfranken,DE,pop culture,204167
Im_Westen_nichts_Neues,DE,historical,198230
Nutella-Bande,DE,historical,196266
