article,country_code,category,pageviews
Jimmy_Carter,US,historical,4882374
Lance_Reddick,US,current,2246656
Pedro_Pascal,US,current,1808479
Brendan_Fraser,US,current,1467111
Jamie_Lee_Curtis,US,current,1250782
Riley_Keough,US,current,1142937
Michelle_Yeoh,US,current,1101868
Jonathan_Ke_Quan,US,current,1055216
Tom_Sizemore,US,historical,962473
Jenna_Ortega,US,current,931930
Bella_Ramsey,US,current,868991
Ja_Morant,US,current,854234
Jonathan_Majors,US,current,840602
Chris_Rock,US,current,821833
Cleopatra,US,historical,745267
Marcel_Marceau,US,historical,740482
Jon_Jones,US,current,715478
Justine_Siegemund,US,historical,707298
Kitty_O'Neil,US,historical,697986
Gwyneth_Paltrow,US,current,650754
Boston_Strangler,US,historical,633709
Keanu_Reeves,US,current,630290
Sylvester_Stallone,US,current,598543
Robert_Blake_(actor),US,historical,586349
Donald_Trump,US,current,571047
大谷翔平,JP,current,2270093
ヌートバー,JP,current,1945207
吉田正尚,JP,current,1626111
栗山英樹,JP,historical,1612122
中村倫也,JP,current,1575715
ダルビッシュ有,JP,current,1403904
ラーズ・ヌートバー,JP,current,1249194
道端ジェシカ,JP,current,1050554
水原一平,JP,current,802718
宇田川優希,JP,current,792547
佐々木朗希,JP,current,754591
水卜麻美,JP,current,736887
葉山奨之,JP,historical,676663
近藤健介,JP,current,595128
大津綾香,JP,current,533824
あの,JP,current,519431
ガーシー,JP,current,512546
髙橋宏斗,JP,current,494469
周東佑京,JP,current,491963
今川氏真,JP,historical,468165
三浦瑠麗,JP,current,462602
翁田大勢,JP,current,432504
マイク・トラウト,JP,current,415799
村上宗隆,JP,current,410101
山本由伸,JP,current,407864
Lily_Savage,GB,current,1021566
Charles_Bronson_(prisoner),GB,historical,564865
Gary_Lineker,GB,historical,395684
Bella_Ramsey,GB,current,384856
Lance_Reddick,GB,current,380203
Pedro_Pascal,GB,current,363979
Humza_Yousaf,GB,historical,324812
Michelle_Yeoh,GB,current,259110
Erling_Haaland,GB,current,213781
Cristiano_Ronaldo,GB,current,207269
Marcel_Marceau,GB,historical,188645
Brendan_Fraser,GB,current,182517
Justine_Siegemund,GB,historical,173479
Gwyneth_Paltrow,GB,current,173448
Kitty_O'Neil,GB,historical,170856
Riley_Keough,GB,current,165413
Jamie_Lee_Curtis,GB,current,165163
Elvis_Presley,GB,historical,149175
Jonathan_Ke_Quan,GB,current,133207
Jon_Jones,GB,current,129883
Andrew_Lloyd_Webber,GB,current,125070
Jenna_Ortega,GB,current,111460
Tom_Sizemore,GB,historical,109551
Boston_Strangler,GB,historical,109062
Nick_Lloyd_Webber,GB,current,107596
Cleopatra,IN,historical,1838067
Satish_Kaushik,IN,current,1348912
Kitty_O'Neil,IN,historical,1311888
XXXTentacion,IN,current,1162613
Mario_J._Molina,IN,historical,1089952
Alia_Bhatt,IN,current,667353
Virat_Kohli,IN,current,501247
Rahul_Gandhi,IN,current,319800
Dunki_(film),IN,current,308269
Innocent_(actor),IN,current,297655
Homi_J._Bhabha,IN,current,280521
Jahangir,IN,historical,275661
Amritpal_Singh_(activist),IN,historical,263202
Akbar,IN,historical,239175
Neal_Mohan,IN,current,235883
Raghav_Chadha,IN,current,213468
Rashmika_Mandanna,IN,current,211178
Cristiano_Ronaldo,IN,current,210027
Brendan_Fraser,IN,current,196229
Mario_Molina,IN,historical,188462
Ram_Charan,IN,current,179742
Vikram_Sarabhai,IN,historical,174038
Anarkali,IN,historical,170108
Amritpal_Singh_(Separatist),IN,historical,155401
Parineeti_Chopra,IN,current,148056
Ricarda_Lang,DE,current,300692
Lance_Reddick,DE,current,281297
Thomas_Tuchel,DE,current,273152
Justine_Siegemund,DE,historical,243584
Mario_J._Molina,DE,historical,230908
Marcel_Marceau,DE,historical,230843
Klaus_Barkowsky,DE,historical,228407
Kitty_O’Neil,DE,historical,191321
Julian_Nagelsmann,DE,current,183494
Brendan_Fraser,DE,current,171600
Kleopatra_VII.,DE,historical,168172
Michelle_Yeoh,DE,current,150809
Robert_Gallinowski,DE,historical,149314
Anna_Ermakova,DE,current,136132
Keanu_Reeves,DE,current,133000
Jasna_Fritzi_Bauer,DE,current,127635
Nina_Chuba,DE,current,116692
Jens_Knossalla,DE,current,116030
Philipp_Boy,DE,current,115803
Tom_Sizemore,DE,historical,113908
Sahra_Wagenknecht,DE,current,109483
Thomas_Heinze,DE,historical,103527
Antje_Vollmer,DE,historical,96761
Julia_Beautx,DE,current,95462
Heinz_Baumann,DE,historical,88521
